temps_ms,pi_valeur,difference,error_percent,ntotal,n_workers
4604,3.14139964,-1.930135897931784E-4,-0.0061438133798991474,100000000,1
4468,3.14171028,1.1762641020673925E-4,0.003744164924511504,200000000,2
4589,3.141650333333333,5.767974354009553E-5,0.0018360032601358045,300000000,3
4556,3.14162072,2.806641020702827E-5,8.93381583858675E-4,400000000,4
4580,3.1414905600000003,-1.0209358979285099E-4,-0.0032497398947057016,500000000,5
4609,3.1415545666666667,-3.8086923126456895E-5,-0.001212344416547328,600000000,6
4800,3.141555914285714,-3.673930407899206E-5,-0.0011694483699855641,700000000,7
4878,3.14161554,2.2886410206979235E-5,7.284970628139106E-4,800000000,8
4967,3.1416135644444445,2.091085465139031E-5,6.656131764089839E-4,900000000,9
5085,3.141567628,-2.5025589793337133E-5,-7.965892638799376E-4,1000000000,10
